Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.007806,-8.0798E-05,0.060679,0,0,0,4.5437,0.0093887,-3.6044E-07,-1.5294E-06,0.021179,9.0156E-09,0.026465,0,0,0,0,0,0,package://狗V2.2.4.SLDASM/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://狗V2.2.4.SLDASM/meshes/base_link.STL,,狗身V2-1;RS02-1;RS02-6;RS02-8;RS02-13,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LF_HipA_link,0.00257755552239861,4.99693453436811E-05,0.0463268539447521,0,0,0,0.382476190475241,0.000438005084276521,8.6168562372723E-09,-2.43162667824345E-06,0.000247268216027252,-2.32783138636024E-08,0.000250258003404947,0,0,0,0,0,0,package://狗V2.2.4.SLDASM/meshes/LF_HipA_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://狗V2.2.4.SLDASM/meshes/LF_HipA_link.STL,,RS02-2;髋关节输出至大腿电机-一体件V4.1-1,LF_HipA_joint,A_LF_HipA_joint,LF_HipA_joint,revolute,0.16,0.0674994572689366,0.0630000490222146,1.5707963267949,0,1.5707963267949,base_link,0,0,1,3,3,-3.14,3.14,,,,,,,,
LF_HipF_link,0.035285832953408,-0.018142455773221,0.050753286316879,0,0,0,0.696305043155676,0.000666588279506283,-0.000442772371887409,1.33750346168118E-06,0.00106450103208978,2.66281165899653E-08,0.0016662806411779,0,0,0,0,0,0,package://狗V2.2.4.SLDASM/meshes/LF_HipF_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://狗V2.2.4.SLDASM/meshes/LF_HipF_link.STL,,RS02-3;大腿-小腿一体件V1.1-1;小齿轮垫片-2.5-1;圆柱齿轮18×2-1;圆柱齿轮30×2-1;销钉-12-30-1;大腿垫块-电机-V3-1;大腿外侧板-MIRRORV3.1-1;大腿垫块-上-V3-1;大腿垫块-下-V3-1;塞打螺丝-4-14-M3-1;F684ZZ-4-9-4-5;塞打螺丝-4-5-M3-1;F684ZZ-4-9-4-3;大腿内侧板-MIRRORV3.1-1;F684ZZ-4-9-4-4,LF_HipF_joint,A_LF_HipF_joint,LF_HipF_joint,revolute,0.018001,0,0.048001,0,1.5708,0,LF_HipA_link,0,0,1,3,3,-3.14,3.14,,,,,,,,
LF_Knee_link,-0.0551071694596452,-0.0801965034780538,0.0165150016913347,0,0,0,0.121558277408982,0.000471977521670996,0.000288552675716774,1.52235655529832E-22,0.000195559908006847,3.71867170261121E-22,0.000667136484344976,0,0,0,0,0,0,package://狗V2.2.4.SLDASM/meshes/LF_Knee_link.STL,1,1,1,1,0,0,0,0,0,0,package://狗V2.2.4.SLDASM/meshes/LF_Knee_link.STL,,小腿V3.1-1/小腿轮夹板V3.2-1;小腿V3.1-1/小腿轮侧板-mirror-V3.2-1;小腿V3.1-1/小腿轮侧板V3.2-1;小腿V3.1-1/71801_cd_p4-1;小腿V3.1-1/71801_cd_p4-2;小腿V3.1-1/膝关节垫圈-2.5-1;小腿V3.1-1/膝关节垫圈-2.5-2;小腿V3.1-1/销钉-4-12-14-1;小腿V3.1-1/F684ZZ-4-9-4-1;小腿V3.1-1/F684ZZ-4-9-4-2,LF_Knee_joint,A_LF_Knee_joint,LF_Knee_joint,revolute,0.170743431939306,-0.122257424197791,0.0500000000000068,0,0,0,LF_HipF_link,0,0,1,3,3,-3.14,3.14,,,,,,,,
LF_Foot_link,-0.000346129878367241,-7.4658576820763E-08,-0.00184098381235759,0,0,0,0.0385136612536527,8.43172394183707E-06,-1.11627386817228E-10,-2.22869169894676E-07,7.93810497074579E-06,-4.09378430576339E-11,8.44878507345896E-06,0,0,0,0,0,0,package://狗V2.2.4.SLDASM/meshes/LF_Foot_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://狗V2.2.4.SLDASM/meshes/LF_Foot_link.STL,,小腿V3.1-1/足端V3.1-1,LF_Foot_joint,A_LF_Foot_joint,LF_Foot_joint,fixed,-0.110125305788291,-0.190742624824423,0.0164999999999972,1.5707963267949,0,3.14159265358979,LF_Knee_link,0,0,0,,,,,,,,,,,,
LR_HipA_link,-0.00257755552249794,-4.99693452409022E-05,0.0463268539447468,0,0,0,0.382476190473777,0.000438005084275596,8.61685630746137E-09,2.43162667824545E-06,0.000247268216026766,2.3278313915353E-08,0.000250258003404493,0,0,0,0,0,0,package://狗V2.2.4.SLDASM/meshes/LR_HipA_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://狗V2.2.4.SLDASM/meshes/LR_HipA_link.STL,,RS02-5;髋关节输出至大腿电机-一体件V4.1-2,LR_HipA_joint,A_LR_HipA_joint,LR_HipA_joint,revolute,-0.16,0.0674994572689466,0.0629999509777641,1.5707963267949,0,-1.5707963267949,base_link,0,0,1,3,3,-3.14,3.14,,,,,,,,
LR_HipF_link,0.0352458744852956,-0.0182190149515609,0.0507121014481869,0,0,0,0.69455855168759,0.000666574374028524,-0.000442772371887715,1.33750346154869E-06,0.00106448712661182,2.66281165037149E-08,0.00166625773406893,0,0,0,0,0,0,package://狗V2.2.4.SLDASM/meshes/LR_HipF_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://狗V2.2.4.SLDASM/meshes/LR_HipF_link.STL,,RS02-7;大腿外侧板-MIRRORV3.1-2;大腿垫块-上-V3-2;大腿垫块-电机-V3-2;大腿垫块-下-V3-2;塞打螺丝-4-14-M3-2;F684ZZ-4-9-4-6;F684ZZ-4-9-4-7;塞打螺丝-4-5-M3-2;销钉-12-30-2;圆柱齿轮30×2-2;圆柱齿轮18×2-2;小齿轮垫片-2.5-2;大腿内侧板-MIRRORV3.1-3;大腿-小腿一体件V1.1-3,LR_HipF_joint,A_LR_HipF_joint,LR_HipF_joint,revolute,-0.018001,0,0.048001,0,-1.5708,0,LR_HipA_link,0,0,1,3,3,-3.14,3.14,,,,,,,,
LR_Knee_link,-0.0554568643728642,-0.0807054083918669,0.0164923945203097,0,0,0,0.120791766143869,0.000471947691987349,0.000288552675716716,-3.25291391083125E-20,0.000195530078323226,-4.92370451491497E-21,0.00066707976872971,0,0,0,0,0,0,package://狗V2.2.4.SLDASM/meshes/LR_Knee_link.STL,1,1,1,1,0,0,0,0,0,0,package://狗V2.2.4.SLDASM/meshes/LR_Knee_link.STL,,小腿V3.1-2/小腿轮夹板V3.2-1;小腿V3.1-2/小腿轮侧板-mirror-V3.2-1;小腿V3.1-2/小腿轮侧板V3.2-1;小腿V3.1-2/71801_cd_p4-1;小腿V3.1-2/膝关节垫圈-2.5-1;小腿V3.1-2/膝关节垫圈-2.5-2;小腿V3.1-2/销钉-4-12-14-1;小腿V3.1-2/F684ZZ-4-9-4-1;小腿V3.1-2/F684ZZ-4-9-4-2,LR_Knee_joint,A_LR_Knee_joint,LR_Knee_joint,revolute,0.17074234647718,-0.122257326153361,0.050000000000001,0,0,0,LR_HipF_link,0,0,1,3,3,-3.14,3.14,,,,,,,,
LR_Foot_link,-0.000346129878367352,-7.46585769872965E-08,-0.0018409838123577,0,0,0,0.0385136612536522,8.43172394183693E-06,-1.11627386798584E-10,-2.22869169894684E-07,7.93810497074571E-06,-4.09378430793404E-11,8.44878507345887E-06,0,0,0,0,0,0,package://狗V2.2.4.SLDASM/meshes/LR_Foot_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://狗V2.2.4.SLDASM/meshes/LR_Foot_link.STL,,小腿V3.1-2/足端V3.1-1,LR_Foot_joint,A_LR_Foot_joint,LR_Foot_joint,fixed,-0.110125305788291,-0.190742624824423,0.0164999999999997,1.5707963267949,0,-3.14159265358979,LR_Knee_link,0,0,0,,,,,,,,,,,,
RF_HipA_link,-0.00257755552375565,-4.99693432564202E-05,0.046326853926168,0,0,0,0.382476190202396,0.000438005084128697,8.61685918857098E-09,2.43162665591705E-06,0.00024726821586974,2.32783339866095E-08,0.000250258003390766,0,0,0,0,0,0,package://狗V2.2.4.SLDASM/meshes/RF_HipA_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://狗V2.2.4.SLDASM/meshes/RF_HipA_link.STL,,RS02-9;髋关节输出至大腿电机-一体件V4.1-3,RF_HipA_joint,A_RF_HipA_joint,RF_HipA_joint,revolute,0.16,-0.0674994572689349,0.0629999509777826,1.5707963267949,0,1.5707963267949,base_link,0,0,1,3,3,-3.14,3.14,,,,,,,,
RF_HipF_link,-0.0352730982942203,-0.0181958136193079,0.0507532863148168,0,0,0,0.69630504313553,0.000666607953923584,0.000442814090570431,-1.3335426287607E-06,0.00106448046742143,1.04740516247373E-08,0.00166627989744646,0,0,0,0,0,0,package://狗V2.2.4.SLDASM/meshes/RF_HipF_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://狗V2.2.4.SLDASM/meshes/RF_HipF_link.STL,,大腿-小腿一体件V1.1-4;RS02-10;大腿垫块-电机-V3-3;大腿内侧板V3.1-1;圆柱齿轮30×2-3;塞打螺丝-4-5-M3-3;F684ZZ-4-9-4-13;塞打螺丝-4-14-M3-3;F684ZZ-4-9-4-14;圆柱齿轮18×2-3;小齿轮垫片-2.5-3;F684ZZ-4-9-4-15;大腿外侧板V3.1-1;大腿垫块-上-V3-3;大腿垫块-下-V3-3;销钉-12-30-3,RF_HipF_joint,A_RF_HipF_joint,RF_HipF_joint,revolute,-0.018001,0,0.048001,0,-1.5708,0,RF_HipA_link,0,0,1,3,3,-3.14,3.14,,,,,,,,
RF_Knee_link,0.0551071694596442,-0.0801965034780551,0.0164849983086629,0,0,0,0.121558277408983,0.000471977521671057,-0.000288552675716711,3.84613761258223E-20,0.000195559908006947,-4.20294990549086E-20,0.000667136484345137,0,0,0,0,0,0,package://狗V2.2.4.SLDASM/meshes/RF_Knee_link.STL,1,1,1,1,0,0,0,0,0,0,package://狗V2.2.4.SLDASM/meshes/RF_Knee_link.STL,,小腿V3.1-3/小腿轮夹板V3.2-1;小腿V3.1-3/小腿轮侧板-mirror-V3.2-1;小腿V3.1-3/小腿轮侧板V3.2-1;小腿V3.1-3/71801_cd_p4-1;小腿V3.1-3/71801_cd_p4-2;小腿V3.1-3/膝关节垫圈-2.5-1;小腿V3.1-3/膝关节垫圈-2.5-2;小腿V3.1-3/销钉-4-12-14-1;小腿V3.1-3/F684ZZ-4-9-4-1;小腿V3.1-3/F684ZZ-4-9-4-2,RF_Knee_joint,A_RF_Knee_joint,RF_Knee_joint,revolute,-0.17074,-0.12226,0.05,0,0,0,RF_HipF_link,0,0,1,3,3,-3.14,3.14,,,,,,,,
RF_Foot_link,-0.000346129878367241,-7.46585768554575E-08,-0.00184098381235764,0,0,0,0.0385136612536526,8.43172394183706E-06,-1.11627386816329E-10,-2.22869169894663E-07,7.93810497074578E-06,-4.09378430564577E-11,8.44878507345897E-06,0,0,0,0,0,0,package://狗V2.2.4.SLDASM/meshes/RF_Foot_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://狗V2.2.4.SLDASM/meshes/RF_Foot_link.STL,,小腿V3.1-3/足端V3.1-1,RF_Foot_joint,A_RF_Foot_joint,RF_Foot_joint,fixed,0.110125305788291,-0.190742624824423,0.0165000000000002,-1.5707963267949,0,0,RF_Knee_link,0,0,0,,,,,,,,,,,,
RR_HipA_link,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://狗V2.2.4.SLDASM/meshes/RR_HipA_link.STL,1,1,1,1,0,0,0,0,0,0,package://狗V2.2.4.SLDASM/meshes/RR_HipA_link.STL,,髋关节输出至大腿电机-一体件V4.1-4;RS02-12,RR_HipA_joint,A_RR_HipA_joint,RR_HipA_joint,revolute,-0.16,-0.0674994572689364,0.0630000490222165,1.5707963267949,0,-1.5707963267949,base_link,0,0,1,3,3,-3.14,3.14,,,,,,,,
RR_HipF_link,-0.0352720128319443,-0.0181959116636838,0.0507532863146866,0,0,0,0.696305043138027,0.000666607953924526,0.000442814090570569,-1.3335426287725E-06,0.00106448046742208,1.04740516651797E-08,0.00166627989744806,0,0,0,0,0,0,package://狗V2.2.4.SLDASM/meshes/RR_HipF_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://狗V2.2.4.SLDASM/meshes/RR_HipF_link.STL,,RS02-14;大腿-小腿一体件V1.1-6;大腿垫块-电机-V3-5;大腿内侧板V3.1-3;大腿外侧板V3.1-3;小齿轮垫片-2.5-5;圆柱齿轮18×2-5;圆柱齿轮30×2-5;塞打螺丝-4-5-M3-5;F684ZZ-4-9-4-23;F684ZZ-4-9-4-22;塞打螺丝-4-14-M3-5;F684ZZ-4-9-4-21;大腿垫块-上-V3-5;大腿垫块-下-V3-5;销钉-12-30-5,RR_HipF_joint,A_RR_HipF_joint,RR_HipF_joint,revolute,0.018001,0,0.048001,0,1.5708,0,RR_HipA_link,0,0,1,3,3,-3.14,3.14,,,,,,,,
RR_Knee_link,0.055107,-0.080197,0.016485,0,0,0,0.12156,0.00047198,-0.00028855,-1.5109E-20,0.00019556,-1.5965E-20,0.00066714,0,0,0,0,0,0,package://狗V2.2.4.SLDASM/meshes/RR_Knee_link.STL,1,1,1,1,0,0,0,0,0,0,package://狗V2.2.4.SLDASM/meshes/RR_Knee_link.STL,,小腿V3.1-4/小腿轮夹板V3.2-1;小腿V3.1-4/小腿轮侧板-mirror-V3.2-1;小腿V3.1-4/小腿轮侧板V3.2-1;小腿V3.1-4/71801_cd_p4-1;小腿V3.1-4/71801_cd_p4-2;小腿V3.1-4/膝关节垫圈-2.5-1;小腿V3.1-4/膝关节垫圈-2.5-2;小腿V3.1-4/销钉-4-12-14-1;小腿V3.1-4/F684ZZ-4-9-4-1;小腿V3.1-4/F684ZZ-4-9-4-2,RR_Knee_joint,A_RR_Knee_joint,RR_Knee_joint,revolute,-0.170742346477182,-0.122257424197793,0.050000000000007,0,0,0,RR_HipF_link,0,0,1,3,3,-3.14,3.14,,,,,,,,
RR_Foot_link,-0.00034613,-7.4659E-08,-0.001841,0,0,0,0.038514,8.4317E-06,-1.1163E-10,-2.2287E-07,7.9381E-06,-4.0938E-11,8.4488E-06,0,0,0,0,0,0,package://狗V2.2.4.SLDASM/meshes/RR_Foot_link.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://狗V2.2.4.SLDASM/meshes/RR_Foot_link.STL,,小腿V3.1-4/足端V3.1-1,RR_Foot_joint,A_RR_Foot_joint,RR_Foot_joint,fixed,0.11013,-0.19074,0.0165,-1.5708,0,0,RR_Knee_link,0,0,0,,,,,,,,,,,,
